CHGOCA,ZCTA5,TOT2010
01,60626,48980
01,60645,5820
01,60660,191
02,60626,1159
02,60645,39454
02,60659,28611
02,60660,2718
03,60613,13161
03,60640,43201
04,60618,90
04,60625,33115
04,60640,5911
04,60659,377
04,60660,0
05,60613,3944
05,60614,301
05,60618,23101
05,60657,4521
06,60613,31176
06,60614,1717
06,60657,61475
07,60610,257
07,60614,63545
07,60642,0
07,60647,314
07,60657,0
08,60610,37462
08,60611,28718
08,60642,268
08,60654,14036
09,60068,0
09,60631,11187
10,60630,292
10,60631,16534
10,60646,5491
10,60656,14706
11,60630,20721
11,60646,4727
12,60630,3515
12,60646,14990
12,60659,0
12,60714,3
13,60625,6101
13,60630,766
13,60646,1948
13,60659,9116
14,60618,1299
14,60625,39435
14,60630,10765
14,60641,43
15,60630,14234
15,60634,16720
15,60641,33165
15,60706,5
16,60618,32502
16,60630,3800
16,60641,17057
17,60634,40513
17,60707,1419
18,60634,5455
18,60707,7971
19,60634,11550
19,60639,52039
19,60641,13826
19,60707,1328
20,60639,19992
20,60641,4283
20,60647,735
21,60618,34445
21,60639,0
21,60641,3289
21,60647,1528
22,60614,1054
22,60618,647
22,60622,1936
22,60639,144
22,60642,1
22,60647,69813
23,60612,1157
23,60622,416
23,60624,7127
23,60639,3845
23,60647,7671
23,60651,36107
24,60610,7
24,60612,4951
24,60622,50196
24,60642,18211
24,60647,7230
24,60651,0
24,60654,837
24,60661,0
25,60624,0
25,60639,14387
25,60644,48648
25,60651,28160
25,60707,7319
25,60804,0
26,60624,18001
27,60612,10111
27,60624,10456
28,60606,1783
28,60607,21873
28,60608,7667
28,60612,15619
28,60616,147
28,60654,0
28,60661,7792
29,60608,2283
29,60612,1634
29,60623,29474
29,60624,2521
30,60608,16654
30,60623,62634
30,60632,0
31,60608,34380
31,60616,1389
32,60601,11110
32,60602,1204
32,60603,493
32,60604,570
32,60605,13355
32,60606,525
32,60607,2024
32,60654,2
33,60605,11313
33,60616,10077
34,60609,906
34,60616,12485
35,60609,386
35,60616,12634
35,60653,5218
36,60653,5918
37,60609,2876
38,60609,812
38,60615,8366
38,60653,12751
39,60615,11820
39,60653,6021
40,60609,57
40,60615,3269
40,60621,469
40,60637,7922
41,60615,17148
41,60637,8533
42,60637,23739
42,60649,2244
43,60619,3691
43,60637,2329
43,60649,43747
44,60619,27724
44,60620,3304
45,60617,3644
45,60619,6541
46,60617,30539
46,60649,659
47,60619,2916
48,60617,11116
48,60619,2696
49,60619,3101
49,60620,3392
49,60628,38126
50,60619,47
50,60628,7278
50,60633,0
51,60617,15078
51,60633,31
52,60617,23042
53,60628,22290
53,60643,7360
53,60827,1
54,60628,0
54,60827,6482
55,60617,736
55,60633,8690
56,60629,0
56,60632,3752
56,60638,30761
56,60804,0
57,60632,13393
58,60609,246
58,60632,45122
59,60608,6594
59,60609,8843
59,60632,175
60,60608,15161
60,60609,5115
60,60616,11701
61,60609,44377
62,60629,10866
62,60632,7243
63,60609,1288
63,60629,16628
63,60632,21641
63,60636,337
64,60629,2927
64,60638,20212
65,60629,32388
65,60652,967
66,60629,51103
66,60636,4525
67,60636,35505
68,60620,328
68,60621,29777
68,60636,549
69,60619,17109
69,60620,2847
69,60621,5666
69,60637,6980
70,60620,1085
70,60629,4
70,60652,39992
71,60620,48743
72,60620,4
72,60643,15976
72,60655,4054
73,60620,12513
73,60628,4463
73,60643,9517
74,60655,19093
75,60628,45
75,60643,17099
75,60655,5400
76,60007,0
76,60018,1
76,60106,0
76,60131,0
76,60176,0
76,60631,479
76,60634,60
76,60656,12159
76,60706,57
77,60640,16678
77,60660,39843
